_id,person_id,company,coll_name,year_film,year_ceremony,ceremony,category,name,film,winner,movie_id
5f8ed8c5dc50381ff768140f,15894,false,oscar,2008,2009,81,SOUND MIXING,tom myers,"[""wall"",""e""]",false,10681
5f8ed8c5dc50381ff7681410,153,false,oscar,2008,2009,81,MUSIC (Original Song),thomas newman,"[""wall"",""e""]",false,10681
5f8ed8c5dc50381ff7681454,127779,false,oscar,1947,1948,20,CINEMATOGRAPHY (Color),harry jackson,"[""mother"",""wore"",""tights""]",false,106825
5f8ed8c5dc50381ff76817c9,11181,false,oscar,1989,1990,62,ACTOR IN A LEADING ROLE,kenneth branagh,"[""henry"",""v""]",false,10705
5f8ed8c5dc50381ff768184b,5656,false,oscar,2005,2006,78,WRITING (Original Screenplay),noah baumbach,"[""the"",""squid"",""and"",""the"",""whale""]",false,10707
5f8ed8c5dc50381ff76819f4,6345,false,oscar,2002,2003,75,CINEMATOGRAPHY,edward lachman,"[""far"",""from"",""heaven""]",false,10712
5f8ed8c5dc50381ff76819f7,16863,false,oscar,2002,2003,75,WRITING (Original Screenplay),todd haynes,"[""far"",""from"",""heaven""]",false,10712
5f8ed8c5dc50381ff76819fe,1231,false,oscar,2002,2003,75,ACTRESS IN A LEADING ROLE,julianne moore,"[""far"",""from"",""heaven""]",false,10712
5f8ed8c5dc50381ff7681efd,1762,false,oscar,1976,1977,49,CINEMATOGRAPHY,richard h. kline,"[""king"",""kong""]",false,10730
5f8ed8c5dc50381ff7681f05,878,false,oscar,1976,1977,49,SOUND,jack solomon,"[""king"",""kong""]",false,10730
5f8ed8c5dc50381ff7681f3e,4038,false,oscar,1994,1995,67,ACTRESS IN A LEADING ROLE,susan sarandon,"[""the"",""client""]",false,10731
5f8ed8c5dc50381ff768223b,7447,false,oscar,2003,2004,76,ACTOR IN A SUPPORTING ROLE,alec baldwin,"[""the"",""cooler""]",false,10744
5f8ed8c5dc50381ff7682260,11993,false,oscar,1956,1957,29,WRITING (Motion Picture Story),dalton trumbo,"[""the"",""brave"",""one""]",true,107443
5f8ed8c5dc50381ff76825ed,39015,false,oscar,1980,1981,53,ACTRESS IN A SUPPORTING ROLE,eileen brennan,"[""private"",""benjamin""]",false,10765
5f8ed8c5dc50381ff76825ef,56106,false,oscar,1980,1981,53,WRITING (Screenplay Written Directly for the Screen),charles shyer,"[""private"",""benjamin""]",false,10765
5f8ed8c5dc50381ff76825f2,18892,false,oscar,1980,1981,53,ACTRESS IN A LEADING ROLE,goldie hawn,"[""private"",""benjamin""]",false,10765
5f8ed8c5dc50381ff76825f3,29706,false,oscar,1980,1981,53,WRITING (Screenplay Written Directly for the Screen),harvey miller,"[""private"",""benjamin""]",false,10765
5f8ed8c5dc50381ff76825f8,17698,false,oscar,1980,1981,53,WRITING (Screenplay Written Directly for the Screen),nancy meyers,"[""private"",""benjamin""]",false,10765
5f8ed8c5dc50381ff76826da,9027,false,oscar,2005,2006,78,COSTUME DESIGN,sandy powell,"[""mrs"",""henderson"",""presents""]",false,10773
5f8ed8c5dc50381ff76826df,853,false,oscar,1976,1977,49,FILM EDITING,alan heim,"[""network""]",false,10774
5f8ed8c5dc50381ff76826e3,10083,false,oscar,1976,1977,49,ACTRESS IN A SUPPORTING ROLE,beatrice straight,"[""network""]",true,10774
5f8ed8c5dc50381ff76826e4,13726,false,oscar,1976,1977,49,ACTOR IN A SUPPORTING ROLE,ned beatty,"[""network""]",false,10774
5f8ed8c5dc50381ff76826e7,31498,false,oscar,1976,1977,49,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),paddy chayefsky,"[""network""]",true,10774
5f8ed8c5dc50381ff76826ee,6450,false,oscar,1976,1977,49,ACTRESS IN A LEADING ROLE,faye dunaway,"[""network""]",true,10774
5f8ed8c5dc50381ff76826f2,29903,false,oscar,1976,1977,49,ACTOR IN A LEADING ROLE,peter finch,"[""network""]",true,10774
5f8ed8c5dc50381ff76826f5,66714,false,oscar,1976,1977,49,BEST PICTURE,howard gottfried,"[""network""]",false,10774
5f8ed8c5dc50381ff76826f7,8252,false,oscar,1976,1977,49,ACTOR IN A LEADING ROLE,william holden,"[""network""]",false,10774
5f8ed8c5dc50381ff76826fc,39996,false,oscar,1976,1977,49,DIRECTING,sidney lumet,"[""network""]",false,10774
5f8ed8c5dc50381ff76826fe,16331,false,oscar,1976,1977,49,CINEMATOGRAPHY,owen roizman,"[""network""]",false,10774
5f8ed8c5dc50381ff7682745,62049,false,oscar,1986,1987,59,MUSIC (Original Song),howard ashman,"[""little"",""shop"",""of"",""horrors""]",false,10776
5f8ed8c6dc50381ff7682773,41283,false,oscar,1972,1973,45,ACTRESS IN A SUPPORTING ROLE,geraldine page,"[""pete"",""n"",""tillie""]",false,107774
5f8ed8c6dc50381ff768279c,151,false,oscar,2001,2002,74,CINEMATOGRAPHY,roger deakins,"[""the"",""man"",""who"",""wasn"",""t"",""there""]",false,10778
5f8ed8c6dc50381ff7682907,66777,false,oscar,1972,1973,45,DIRECTING,bob fosse,"[""cabaret""]",true,10784
5f8ed8c6dc50381ff7682908,3898,false,oscar,1972,1973,45,FILM EDITING,david bretherton,"[""cabaret""]",true,10784
5f8ed8c6dc50381ff768290c,19250,false,oscar,1972,1973,45,BEST PICTURE,cy feuer,"[""cabaret""]",false,10784
5f8ed8c6dc50381ff7682917,243,false,oscar,1972,1973,45,CINEMATOGRAPHY,geoffrey unsworth,"[""cabaret""]",true,10784
5f8ed8c6dc50381ff768291b,6748,false,oscar,1972,1973,45,ACTOR IN A SUPPORTING ROLE,joel grey,"[""cabaret""]",true,10784
5f8ed8c6dc50381ff7682929,66776,false,oscar,1972,1973,45,ACTRESS,liza minnelli,"[""cabaret""]",true,10784
5f8ed8c6dc50381ff7682930,3771,false,oscar,1972,1973,45,ART DIRECTION,rolf zehetbauer,"[""cabaret""]",true,10784
5f8ed8c6dc50381ff7682a43,30155,false,oscar,1935,1936,8,ACTRESS,claudette colbert,"[""private"",""worlds""]",false,107876
5f8ed8c6dc50381ff7682d61,18638,false,oscar,1976,1977,49,SPECIAL ACHIEVEMENT AWARD (Visual Effects),l. b. abbott,"[""logan"",""s"",""run""]",true,10803
5f8ed8c6dc50381ff7682d74,14780,false,oscar,1976,1977,49,ART DIRECTION,robert de vestel,"[""logan"",""s"",""run""]",false,10803
5f8ed8c6dc50381ff7682d75,9103,false,oscar,1976,1977,49,CINEMATOGRAPHY,ernest laszlo,"[""logan"",""s"",""run""]",false,10803
5f8ed8c6dc50381ff7682d7a,1557824,false,oscar,1976,1977,49,SPECIAL ACHIEVEMENT AWARD (Visual Effects),glen robinson,"[""logan"",""s"",""run""]",true,10803
5f8ed8c6dc50381ff7682e37,3234,false,oscar,1997,1998,70,ACTRESS IN A SUPPORTING ROLE,joan cusack,"[""in"",""out""]",false,10806
5f8ed8c6dc50381ff768307a,8503,false,oscar,1940,1941,13,MUSIC (Scoring),alfred newman,"[""tin"",""pan"",""alley""]",true,108222
5f8ed8c6dc50381ff76830c8,8506,false,oscar,1930,1931,4,ART DIRECTION,richard day,"[""whoopee""]",false,108224
5f8ed8c6dc50381ff7683151,7684,false,oscar,1951,1952,24,ACTRESS IN A SUPPORTING ROLE,thelma ritter,"[""the"",""mating"",""season""]",false,108232
5f8ed8c6dc50381ff768358b,1243,false,oscar,1985,1986,58,WRITING (Screenplay Written Directly for the Screen),woody allen,"[""the"",""purple"",""rose"",""of"",""cairo""]",false,10849
